SHMS014,SH,MS,新闸路,新閘路,新閘路,Xinzha Road,xinzhalu,xzl,31.238456,121.467936,1787,1379,新闸路站,新閘路駅,Xinzha_Road_Station
SHMS015,SH,MS,汉中路,漢中路,漢中路,Hanzhong Road,hanzhonglu,hzl,31.241746,121.458592,1699,1290,汉中路站,漢中路駅,Hanzhong_Road_Station
SHMS016,SH,MS,上海火车站,上海火車站,上海火車駅,Shanghai Railway Station,shanghaihuochezhan,shhcz,31.249332,121.458744,1698,1172,上海火车站站,上海駅駅,Shanghai_Railway_Station_(Metro)
SHMS017,SH,MS,中山北路,中山北路,中山北路,North Zhongshan Road,zhongshanbeilu,zsbl,31.259088,121.459144,1699,1074,中山北路站,中山北路駅,North_Zhongshan_Road_Station
SHMS018,SH,MS,延长路,延長路,延長路,Yanchang Road,yanchanglu,ycl,31.2714,121.455517,1701,989,延长路站,延長路駅,Yanchang_Road_Station
SHMS019,SH,MS,上海马戏城,上海馬戲城,上海馬戯城,Shanghai Circus World,shanghaimaxicheng,shmxc,31.279561,121.452043,1699,904,上海马戏城站,上海馬戯城駅,Shanghai_Circus_World_Station
SHMS020,SH,MS,汶水路,汶水路,ウェン水路,Wenshui Road,wenshuilu,wsl,31.293095,121.450134,1701,820,汶水路站,ブン水路駅,Wenshui_Road_Station
SHMS021,SH,MS,彭浦新村,彭浦新村,彭浦新村,Pengpu Xincun,pengpuxincun,ppxc,31.306752,121.44864,1700,737,彭浦新村站,彭浦新村駅,Pengpu_Xincun_Station
SHMS022,SH,MS,共康路,共康路,共康路,Gongkang Road,gongkanglu,gkl,31.318791,121.447169,1702,652,共康路站,共康路駅,Gongkang_Road_Station
SHMS023,SH,MS,通河新村,通河新村,通河新村,Tonghe Xincun,tonghexincun,thxc,31.331259,121.441479,1698,568,通河新村站,通河新村駅,Tonghe_Xincun_Station
SHMS024,SH,MS,呼兰路,呼蘭路,呼蘭路,Hulan Road,hulanlu,hll,31.339967,121.437671,1701,483,呼兰路站,呼蘭路駅,Hulan_Road_Station
SHMS025,SH,MS,共富新村,共富新村,共富新村,Gongfu Xincun,gongfuxincun,gfxc,31.355414,121.43409,1699,398,共富新村站,共富新村駅,Gongfu_Xincun_Station
SHMS026,SH,MS,宝安公路,寶安公路,宝安公路,Bao'an Highway,baoangonglu,bagl,31.369665,121.431144,1701,314,宝安公路站,宝安公路駅,Bao'an_Highway_Station
SHMS027,SH,MS,友谊西路,友誼西路,友誼西路,West Youyi Road,youyixilu,yyxl,31.381339,121.427872,1698,230,友谊西路站,友誼西路駅,West_Youyi_Road_Station
SHMS028,SH,MS,富锦路,富錦路,富錦路,Fujin Road,fujinlu,fjl,31.392403,121.424713,1701,145,富锦路站,富錦路駅,Fujin_Road_Station
SHMS029,SH,MS,徐泾东,徐涇東,徐涇東,East Xujing,xujingdong,xjd,31.187681,121.298212,212,1630,徐泾东站,徐涇東駅,East_Xujing_Station
SHMS030,SH,MS,虹桥火车站,虹橋火車站,虹橋火車駅,Hongqiao Railway Station,hongqiaohuochezhan,hqhcz,31.192681,121.321523,317,1637,虹桥火车站站,虹橋駅駅,Hongqiao_Railway_Station_Station
SHMS031,SH,MS,虹桥2号航站楼,虹橋2號航站樓,虹橋第2ターミナル,Hongqiao Airport Terminal 2,hongqiaoerhaohangzhanlou,hqehhzl,31.193202,121.332093,427,1637,虹桥2号航站楼站,虹橋2号航站楼駅,Hongqiao_Airport_Terminal_2_Station
SHMS032,SH,MS,淞虹路,淞虹路,淞虹路,Songhong Road,songhonglu,shl,31.218255,121.359278,645,1468,淞虹路站,淞虹路駅,Songhong_Road_Station
SHMS033,SH,MS,北新泾,北新涇,北新涇,Beixinjing,beixinjing,bxj,31.216787,121.373543,740,1473,北新泾站,北新涇駅,Beixinjing_Station
SHMS034,SH,MS,威宁路,威寧路,威寧路,Weining Road,weininglu,wnl,31.215027,121.386289,833,1470,威宁路站,威寧路駅,Weining_Road_Station
SHMS035,SH,MS,娄山关路,婁山關路,婁山関路,Loushanguan Road,loushanguanlu,lsgl,31.211003,121.403894,928,1472,娄山关路站,婁山関路駅,Loushanguan_Road_Station
SHMS036,SH,MS,中山公园,中山公園,中山公園,Zhongshan Park,zhongshangongyuan,zsgy,31.218173,121.415695,1086,1468,中山公园站,中山公園駅,Zhongshan_Park_Station
SHMS037,SH,MS,江苏路,江蘇路,江蘇路,Jiangsu Road,jiangsulu,jsl,31.2194927,121.4314593,1235,1470,江苏路站,江蘇路駅,Jiangsu_Road_Station
SHMS038,SH,MS,静安寺,靜安寺,静安寺,Jing'an Temple,jingansi,jas,31.223216,121.446437,1413,1468,静安寺站,静安寺駅,Jing'an_Temple_Station
SHMS039,SH,MS,南京西路,南京西路,南京西路,West Nanjing Road,nanjingxilu,njxl,31.229724,121.459716,1628,1469,南京西路站,南京西路駅,West_Nanjing_Road_Station
SHMS040,SH,MS,南京东路,南京東路,南京東路,East Nanjing Road,nanjingdonglu,njdl,31.237632,121.484859,2016,1469,南京東路站_(上海),南京東路駅_(上海市),East_Nanjing_Road_Station
SHMS041,SH,MS,陆家嘴,陸家嘴,陸家嘴,Lujiazui,lujiazui,ljz,31.238073,121.501632,2173,1513,陆家嘴站,陸家嘴駅,Lujiazui_Station
SHMS042,SH,MS,东昌路,東昌路,東昌路,Dongchang Road,dongchanglu,dcl,31.233253,121.515119,2246,1587,东昌路站,東昌路駅,Dongchang_Road_Station
SHMS043,SH,MS,世纪大道,世紀大道,世紀大道,Century Avenue,shijidadao,sjdd,31.229069,121.526867,2339,1677,世纪大道站_(上海),世紀大道駅,Century_Avenue_Station
SHMS044,SH,MS,上海科技馆,上海科技館,上海科技館,Shanghai Science & Technology Museum,shanghaikejiguan,shkjg,31.219453,121.542949,2462,1850,上海科技馆站,上海科技館駅,Shanghai_Science_and_Technology_Museum_Station
SHMS045,SH,MS,世纪公园,世紀公園,世紀公園,Century Park,shijigongyuan,sjgy,31.209971,121.550768,2458,1974,世纪公园站,世紀公園駅,Century_Park_Station_(Shanghai)
